food_group,food_code,reference_number,food_name,REFUSE,ENERC,ENERC_KCAL,WATER,PROTCAA,PROT-,FATNLEA,CHOLE,FAT-,CHOAVLM,CHOAVLM*,CHOAVL,CHOAVLDF-,CHOAVLDF-*,FIB-,POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB,TOCPHG,TOCPHD,VITK ,THIA,RIBF,NIA,NE,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,ALC,NACL_EQ,note_012,ILE ,LEU ,LYS,MET ,CYS ,AAS,PHE,TYR,AAA ,THR ,TRP ,VAL,HIS ,ARG,ALA ,ASP,GLU ,GLY,PRO,SER,HYP ,AAT,AMMON,AMMON-E,note_022,ILEN ,LEUN ,LYSN,METN ,CYSN ,AASN,PHEN,TYRN,AAAN ,THRN ,TRPN ,VALN,HISN ,ARGN,ALAN ,ASPN,GLUN ,GLYN,PRON,SERN,HYPN ,AATN,AMMONN,XNA,XN,note_023,ILEPA,LEUPA,LYSPA,METPA,CYSPA,AASPA,PHEPA,TYRPA,AAAPA ,THRPA,TRPPA ,VALPA,HISPA ,ARGPA,ALAPA ,ASPPA,GLUPA ,GLYPA,PROPA,SERPA,HYPPA ,AATPA,AMMONPA,note_024,ILEP ,LEUP ,LYSP,METP ,CYSP ,AASP,PHEP,TYRP,AAAP ,THRP ,TRPP ,VALP,HISP ,ARGP,ALAP ,ASPP,GLUP ,GLYP,PROP,SERP,HYPP ,AATP,AMMONP,note_025,FACID,FASAT,FAMS,FAPU,FAPUN3,FAPUN6,F4D0,F6D0,F7D0,F8D0,F10D0,F12D0,F13D0,F14D0,F15D0,F15D0AI,F16D0,F16D0I,F17D0,F17D0AI,F18D0,F20D0,F22D0,F24D0,F10D1,F14D1,F15D1,F16D1,F17D1,F18D1,F18D1CN9,F18D1CN7,F20D1,F22D1,F24D1,F16D2,F16D3,F16D4,F18D2N6,F18D3N3,F18D3N6,F18D4N3,F20D2N6,F20D3N3,F20D3N6,F20D4N3,F20D4N6,F20D5N3,F21D5N3,F22D2,F22D4N6,F22D5N3,F22D5N6,F22D6N3,FAUN,note_032,FASATF,FAMSF,FAPUF,FAPUN3F,FAPUN6F,F4D0F,F6D0F,F7D0F,F8D0F,F10D0F,F12D0F,F13D0F,F14D0F,F15D0F,F15D0AIF,F16D0F,F16D0IF,F17D0F,F17D0AIF,F18D0F,F20D0F,F22D0F,F24D0F,F10D1F,F14D1F,F15D1F,F16D1F,F17D1F,F18D1F,F18D1CN9F,F18D1CN7F,F20D1F,F22D1F,F24D1F,F16D2F,F16D3F,F16D4F,F18D2N6F,F18D3N3F,F18D3N6F,F18D4N3F,F20D2N6F,F20D3N3F,F20D3N6F,F20D4N3F,F20D4N6F,F20D5N3F,F21D5N3F,F22D2F,F22D4N6F,F22D5N3F,F22D5N6F,F22D6N3F,FAUNF,note_033,FACIDL,FASATL,FAMSL,FAPUL,FAPUN3L,FAPUN6L,F4D0L,F6D0L,F7D0L,F8D0L,F10D0L,F12D0L,F13D0L,F14D0L,F15D0L,F15D0AIL,F16D0L,F16D0IL,F17D0L,F17D0AIL,F18D0L,F20D0L,F22D0L,F24D0L,F10D1L,F14D1L,F15D1L,F16D1L,F17D1L,F18D1L,F18D1CN9L,F18D1CN7L,F20D1L,F22D1L,F24D1L,F16D2L,F16D3L,F16D4L,F18D2N6L,F18D3N3L,F18D3N6L,F18D4N3L,F20D2N6L,F20D3N3L,F20D3N6L,F20D4N3L,F20D4N6L,F20D5N3L,F21D5N3L,F22D2L,F22D4N6L,F22D5N3L,F22D5N6L,F22D6N3L,FAUNL,note_034,STARCH,GLUS,FRUS,GALS,SUCS,MALS,LACS,TRES,SORTL,MANTL,note_042,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,note_043,FORAC,ACEAC,GLYCLAC,LACAC,GLUCAC,OXALAC,MOLAC,SUCAC,FUMAC,MALAC,TARAC,GLUAKAC,CITAC,SALAC,PCHOUAC,CAFFAC,FERAC,CHLRAC,QUINAC,OROTAC,PYROGAC,PROPAC,note_044
1,1001,0001,アマランサス　玄穀,0.0,1452.0,343.0,13.5,(11.3),12.7,5.0,(0),6.0,63.5,*,57.8,59.9,,7.4,-,64.9,-,2.9,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59,(0),0,2,0,2,Tr,(0),1.3,2.3,0.2,0.7,(0),0.04,0.14,1.0,(3.8),0.58,(0),130,1.69,16.0,(0),-,0,,(550),(820),(700),(210),(180),(390),(510),(310),(820),(520),(170),(640),(360),(990),(750),(1200),(2100),(1500),(650),(1100),(0),(13000),-,-,米国成分表より推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,1.18,1.48,2.10,0.04,2.06,-,-,-,-,0,0,-,9,3,-,940,-,5,-,150,36,16,15,0,0,0,7,3,1500,-,-,12,2,0,0,0,0,2000,36,14,0,0,-,0,0,0,0,0,0,0,0,0,0,-,,24.8,31.0,44.2,0.8,43.4,-,-,-,-,0,0,-,0.2,0.1,-,19.9,-,0.1,-,3.2,0.7,0.3,0.3,0,0,0,0.1,0.1,30.6,-,-,0.2,Tr,0,0,0,0,43.1,0.8,0.3,0,0,-,0,0,0,0,0,0,0,0,0,0,-,,792.0,196.0,246.0,350.0,6,344.0,-,-,-,-,0,0,-,1,1,-,157.0,-,1,-,25,6,3,3,0,0,0,1,Tr,242.0,-,-,2,Tr,0,0,0,0,342,6,2,0,0,-,0,0,0,0,0,0,0,0,0,0,-,,56.4,Tr,Tr,-,1.3,0,(0),(0),-,-,,1.1,6.3,7.4,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1,1002,0002,あわ　精白粒,0.0,1466.0,346.0,13.3,10.2,11.2,4.1,(0),4.4,69.6,*,63.3,67.6,,3.3,0,69.7,-,1.4,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22,(0),(0),(0),(0),(0),(0),(0),0.6,0,2.2,0,(0),0.56,0.07,2.9,6.4,0.18,(0),29,1.83,14.0,0,-,0,うるち、もちを含む歩留り： 70～80 %,480,1500,220,380,220,600,630,360,990,470,210,600,270,360,1000,800,2400,300,990,630,-,12000,340,-,うるち、もちを含む歩留り： 70～80 %,270.0,850.0,120.0,220.0,120.0,340.0,350.0,200.0,560.0,260.0,120.0,330.0,150.0,200.0,590.0,450.0,1400.0,170.0,560.0,350.0,-,6700.0,190.0,5.73,6.25,うるち、もちを含む歩留り： 70～80 %,47.0,150.0,22.0,38.0,21.0,59.0,62.0,35.0,97.0,46.0,21.0,58.0,26.0,35.0,100.0,78.0,240.0,30.0,97.0,61.0,-,1200.0,34.0,うるち、もちを含む歩留り： 70～80 %,43.0,140.0,20.0,34.0,20.0,54.0,57.0,32.0,89.0,42.0,19.0,54.0,24.0,32.0,94.0,72.0,220.0,27.0,89.0,56.0,-,1100.0,31.0,うるち、もちを含む歩留り： 70～80 %,3.94,0.67,0.52,2.75,0.12,2.63,-,-,-,-,0,0,-,2,4,-,410,-,5,-,160,51,25,10,0,0,0,3,0,500,480,18,19,0,0,0,0,0,2600,120,0,0,3,-,4,0,0,0,0,0,0,0,0,0,-,うるち、もちを含む歩留り： 70～80 %,16.9,13.2,69.9,3.1,66.8,-,-,-,-,0,0,-,Tr,0.1,-,10.4,-,0.1,-,4.0,1.3,0.6,0.3,0,0,0,0.1,0,12.6,12.2,0.5,0.5,0,0,0,0,0,66.6,3.1,0,0,0.1,-,0.1,0,0,0,0,0,0,0,0,0,-,うるち、もちを含む歩留り： 70～80 %,887.0,150.0,117.0,620.0,28,592.0,-,-,-,-,0,0,-,Tr,1,-,93.0,-,1,-,36,11,6,2,0,0,0,1,0,112.0,108,4,4,0,0,0,0,0,591,28,0,0,1,-,1,0,0,0,0,0,0,0,0,0,-,うるち、もちを含む歩留り： 70～80 %,62.2,0,-,-,1.0,0.1,(0),(0),0,-,うるち、もちを含む歩留り： 70～80 %,0.4,2.9,3.3,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1,1003,0003,あわ　あわもち,0.0,890.0,210.0,48.0,(4.5),5.1,(1.2),0,1.3,(44.5),,(40.5),44.6,*,1.5,-,45.3,-,0.3,0,62.0,5.0,12.0,39.0,0.7,1.1,0.20,0.46,0,1.0,0,40.0,0,0,0,0,0,0,0,0.1,0,1.2,0,0,0.08,0.01,0.3,(1.7),0.03,0,7.0,0.61,3.4,0,-,0,原材料配合割合： もちあわ50、もち米50,(210),(600),(130),(160),(110),(260),(280),(170),(460),(190),(88),(280),(130),(250),(410),(410),(1000),(170),(380),(260),-,(5300),-,-,原材料配合割合： もちあわ50、もち米5001002あわ、01151もち米から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1.14),(0.22),(0.19),(0.73),(0.03),(0.70),-,-,-,-,(0),(0),-,(3),(1),-,(150),-,(1),-,(42),(13),(6),(4),(0),(0),(0),(1),(0),(180),-,-,(5),(Tr),(0),(0),(0),(0),(700),(31),(0),(0),(1),(0),(1),(0),(0),(0),(0),(0),(0),(0),(0),(0),-,原材料配合割合： もちあわ50、もち米50原材料配合割合から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(40.1),(0),-,-,(0.4),(Tr),(0),(0),-,-,原材料配合割合： もちあわ50、もち米5001002あわ及び01151もち米から推計,0,1.5,1.5,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1,1004,0004,えんばく　オートミール,0.0,1479.0,350.0,10.0,12.2,13.7,(5.1),(0),5.7,63.1,*,57.4,61.8,,9.4,-,69.1,-,1.5,3.0,260.0,47.0,100.0,370.0,3.9,2.1,0.28,-,0,18.0,0,110.0,(0),-,-,-,(0),(0),(0),0.6,0.1,0,0,(0),0.20,0.08,1.1,4.5,0.11,(0),30.0,1.29,22.0,(0),-,0,別名： オート、オーツ,590,1100,620,270,500,770,760,490,1300,500,200,800,350,910,670,1200,3000,750,810,700,-,14000,380,-,別名： オート、オーツ,250.0,460.0,260.0,110.0,210.0,330.0,330.0,210.0,540.0,210.0,87.0,340.0,150.0,390.0,280.0,490.0,1300.0,320.0,350.0,300.0,-,6100.0,160.0,5.2,5.83,別名： オート、オーツ,48.0,88.0,51.0,22.0,41.0,63.0,62.0,40.0,100.0,41.0,17.0,66.0,29.0,74.0,54.0,95.0,250.0,61.0,67.0,58.0,-,1200.0,31.0,別名： オート、オーツ,43.0,79.0,45.0,20.0,36.0,56.0,56.0,36.0,92.0,37.0,15.0,59.0,25.0,66.0,49.0,84.0,220.0,55.0,59.0,51.0,-,1000.0,28.0,別名： オート、オーツ,(4.90),(1.01),(1.80),(2.09),(0.09),(2.00),-,-,-,-,-,(20),-,(12),-,-,(850),-,-,-,(54),-,-,-,-,-,-,(11),-,(1800),-,-,-,-,-,-,-,-,(2000),(92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,別名： オート、オーツ米国成分表から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.3,0,Tr,-,1.0,0,(0),(0),-,-,別名： オート、オーツ,3.2,6.2,9.4,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1,1005,0005,おおむぎ　七分つき押麦,0.0,1454.0,343.0,14.0,(9.7),10.9,1.8,(0),2.1,(71.3),*,(64.9),63.3,,10.3,-,72.1,-,0.9,2.0,220.0,23.0,46.0,180.0,1.3,1.4,0.32,0.85,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,Tr,0.1,0,(0),0.22,0.07,3.2,(5.8),0.14,(0),17.0,0.43,-,(0),-,0,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %,(410),(830),(390),(190),(300),(490),(610),(370),(980),(430),(160),(580),(260),(510),(430),(640),(2800),(440),(1400),(540),-,(11000),(340),-,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %01006押麦から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,0.58,0.20,0.91,0.05,0.86,-,-,-,-,0,1.0,-,8.0,1.0,-,530.0,-,2.0,-,25.0,2.0,7.0,1.0,-,0,-,1.0,0,170.0,-,-,10.0,17.0,0,-,-,-,860.0,54.0,-,-,Tr,-,-,-,-,-,-,-,-,-,-,-,4.0,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %,34.4,11.7,53.9,3.2,50.7,-,-,-,-,0,Tr,-,0.5,0.1,-,31.6,-,0.1,-,1.5,0.1,0.4,0.1,-,0,-,Tr,0,10.1,-,-,0.6,1.0,0,-,-,-,50.7,3.2,-,-,Tr,-,-,-,-,-,-,-,-,-,-,-,0.3,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %,806.0,277.0,95.0,434.0,26,409.0,-,-,-,-,0,Tr,-,4,1,-,254.0,-,1,-,12,1,4,1,-,0,-,Tr,0,81.0,-,-,5,8,0,-,-,-,409,26,-,-,Tr,-,-,-,-,-,-,-,-,-,-,-,2,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %,(64.4),(Tr),(0.1),(0),(0.3),(0.1),(0),(0),-,-,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %01006押麦から推計,6.3,4.0,10.3,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1,1006,0006,おおむぎ　押麦　乾,0.0,1395.0,329.0,12.7,5.9,6.7,1.2,(0),1.5,72.4,*,65.8,67.2,,12.2,-,78.3,-,0.7,2,210,21,40,160,1.1,1.1,0.22,0.86,0,1,0,11,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.11,0.03,3.4,5.0,0.13,(0),10,0.40,2.7,(0),-,0,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %食物繊維：AOAC2011.25法,250,500,240,120,180,300,370,230,600,260,97,350,160,310,260,390,1700,270,820,330,-,6900,210,-,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %,220.0,440.0,210.0,100.0,160.0,260.0,330.0,200.0,520.0,230.0,85.0,310.0,140.0,270.0,230.0,340.0,1500.0,240.0,720.0,290.0,-,6000.0,180.0,5.19,5.83,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %,43.0,85.0,40.0,20.0,31.0,51.0,63.0,38.0,100.0,44.0,16.0,60.0,27.0,52.0,44.0,66.0,290.0,46.0,140.0,56.0,-,1200.0,35.0,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %,38.0,76.0,36.0,18.0,27.0,45.0,56.0,34.0,90.0,39.0,15.0,53.0,24.0,47.0,39.0,58.0,260.0,41.0,120.0,50.0,-,1000.0,31.0,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %,1.18,0.43,0.13,0.62,0.03,0.59,-,-,-,-,0,Tr,-,6,1,-,390,-,1,-,22,2,2,3,0,0,0,1,0,110,99,7,6,11,2,0,0,0,590,33,0,0,1,-,0,0,0,0,0,0,0,0,0,0,54,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %,36.7,10.7,52.6,2.8,49.8,-,-,-,-,0,Tr,-,0.5,0.1,-,33.4,-,0.1,-,1.9,0.2,0.2,0.2,0,0,0,0.1,0,9.0,8.4,0.6,0.5,1.0,0.1,0,0,0,49.7,2.8,0,0,0.1,-,0,0,0,0,0,0,0,0,0,0,4.6,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %,760.0,279.0,82.0,400.0,21,378.0,-,-,-,-,0,Tr,-,4,1,-,254.0,-,1,-,14,1,2,2,0,0,0,1,0,69.0,64,5,4,7,1,0,0,0,378,21,0,0,1,-,0,0,0,0,0,0,0,0,0,0,35,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %,65.4,Tr,0.1,Tr,0.3,0.1,0,(0),-,-,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %,4.3,3.6,7.9,2.4,4.3,5.5,0.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,
1,1007,0008,おおむぎ　米粒麦,0.0,1407.0,333.0,14.0,(6.2),7.0,(1.8),(0),2.1,68.8,,62.5,68.6,*,8.7,-,76.2,-,0.7,2.0,170.0,17.0,25.0,140.0,1.2,1.2,0.37,-,Tr,1.0,Tr,9.0,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.19,0.05,2.3,(4.0),0.19,(0),10.0,0.64,3.5,(0),-,0,別名： 切断麦白麦を含む歩留り： 玄皮麦40～50 %、玄裸麦50～60 %,(270),(530),(250),(120),(190),(320),(390),(240),(630),(280),(100),(370),(170),(330),(270),(410),(1800),(280),(870),(350),-,(7200),(220),-,別名： 切断麦白麦を含む歩留り： 玄皮麦40～50 %、玄裸麦50～60 %01006押麦から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1.69),(0.58),(0.20),(0.91),(0.05),(0.86),-,-,-,-,(0),(1),-,(8),(1),-,(530),-,(2),-,(25),(2),(7),(1),-,(0),-,(1),(0),(170),-,-,(10),(17),(0),-,-,-,(860),(54),-,-,(Tr),(0),-,-,-,-,-,-,-,-,-,-,(4),別名： 切断麦白麦を含む歩留り： 玄皮麦40～50 %、玄裸麦50～60 %01005七分つき押麦から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1,Tr,Tr,-,0.3,0.1,(0),(0),-,-,別名： 切断麦白麦を含む歩留り： 玄皮麦40～50 %、玄裸麦50～60 %,6.0,2.7,8.7,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1,1008,0009,おおむぎ　大麦めん　乾,0.0,1457.0,343.0,14.0,(11.7),12.9,(1.4),(0),1.7,(72.2),*,(65.7),63.2,,6.3,-,68.0,-,3.4,1100.0,240.0,27.0,63.0,200.0,2.1,1.5,0.33,0.90,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.21,0.04,3.5,(6.3),0.09,(0),19.0,0.64,-,(0),-,2.8,原材料配合割合： 大麦粉 50、小麦粉 50,(480),(950),(360),(230),(340),(570),(690),(420),(1100),(440),(170),(620),(310),(560),(450),(630),(4100),(510),(1600),(690),-,(14000),(480),-,原材料配合割合： 大麦粉 50、小麦粉 5001006押麦、01019小麦粉/中力粉/２等から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1.35),(0.43),(0.15),(0.78),(0.04),(0.74),(0),(0),(0),(0),(0),(Tr),(0),(4),(1),(0),(400),(0),(2),(0),(20),(2),(1),(1),(0),(0),(0),(1),(Tr),(130),(51),(4),(6),(6),(1),(0),(0),(0),(740),(41),(0),(0),(1),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(28),原材料配合割合： 大麦粉 50、小麦粉 5001006押麦及び01019中力粉2等から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(65.3),(Tr),(Tr),(0),(0.3),(0.1),(0),(0),-,-,原材料配合割合： 大麦粉 50、小麦粉 5001006押麦及び01019中力粉2等から推計,3.6,2.7,6.3,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1,1009,0010,おおむぎ　大麦めん　ゆで,0.0,516.0,121.0,70.0,(4.4),4.8,(0.5),(0),0.6,(25.2),*,(22.9),22.3,,2.5,-,24.3,-,0.3,64.0,10.0,12.0,18.0,61.0,0.9,0.6,0.13,0.27,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.04,0.01,1.0,(2.0),0.01,(0),5.0,0.26,-,(0),-,0.2,原材料配合割合： 大麦粉 50、小麦粉 50,(180),(350),(130),(84),(130),(210),(260),(160),(410),(170),(62),(230),(120),(210),(170),(240),(1500),(190),(590),(260),-,(5000),(180),-,原材料配合割合： 大麦粉 50、小麦粉 5001006押麦、01019小麦粉/中力粉/２等から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(0.48),(0.15),(0.05),(0.27),(0.01),(0.26),(0),(0),(0),(0),(0),(0),(0),(2),(1),(0),(140),(0),(1),(0),(7),(1),(Tr),(1),(0),(0),(0),(Tr),(0),(47),(18),(1),(2),(2),(Tr),(0),(0),(0),(260),(14),(0),(0),(Tr),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(10),原材料配合割合： 大麦粉 50、小麦粉 5001006押麦及び01019中力粉2等から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(22.8),(0),(Tr),(0),(0.1),(Tr),(0),(0),-,-,原材料配合割合： 大麦粉 50、小麦粉 5001006押麦及び01019中力粉2等から推計,1.2,1.3,2.5,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1,1010,0011,おおむぎ　麦こがし,0.0,1553.0,368.0,3.5,(11.1),12.5,(4.2),(0),5.0,(80.1),,(72.8),63.8,*,15.5,-,77.1,-,1.9,2,490,43,130,340,3.1,3.8,0.41,1.81,-,-,-,-,(0),-,-,-,(0),(0),(0),0.5,0.1,0.2,0,(0),0.09,0.10,7.6,(11.0),0.09,(0),24,0.28,-,(0),-,0,別名： こうせん、はったい粉,(480),(950),(450),(220),(340),(560),(700),(430),(1100),(490),(180),(660),(300),(580),(490),(730),(3300),(510),(1500),(620),-,(13000),(390),-,別名： こうせん、はったい粉01006押麦から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4.03),(1.39),(0.47),(2.17),(0.13),(2.04),-,-,-,-,(0),(1),-,(18),(3),-,(1300),-,(5),-,(59),(6),(18),(4),-,(0),-,(1),(Tr),(410),-,-,(24),(41),(0),-,-,-,(2000),(130),-,-,(1),(0),-,-,-,-,-,-,-,-,-,-,(10),別名： こうせん、はったい粉01005七分つき押麦から推計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(72.3),(Tr),(0.1),(Tr),(0.3),(0.1),(0),(0),-,-,別名： こうせん、はったい粉01006押麦から推計,5.2,10.3,15.5,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
