food_name,food_table_name,food_table_category_id
あまらんさす,アマランサス　玄穀,01
あまらんさす　玄穀,アマランサス　玄穀,01
アマランサス,アマランサス　玄穀,01
アマランサス　玄穀,アマランサス　玄穀,01
あわ　精白粒,あわ　精白粒,01
あわ　あわもち,あわ　あわもち,01
あわもち,あわ　あわもち,01
えんばく,えんばく　オートミール,01
えんばく　おーとみーる,えんばく　オートミール,01
えんばく　オートミール,えんばく　オートミール,01
おーつ,えんばく　オートミール,01
おーと,えんばく　オートミール,01
おーとみーる,えんばく　オートミール,01
オーツ,えんばく　オートミール,01
オート,えんばく　オートミール,01
オートミール,えんばく　オートミール,01
おおむぎ　七分つき押麦,おおむぎ　七分つき押麦,01
七分つき押麦,おおむぎ　七分つき押麦,01
おおむぎ　押麦　乾,おおむぎ　押麦　乾,01
おおむぎ　押麦　めし,おおむぎ　押麦　めし,01
めし,おおむぎ　押麦　めし,01
おおむぎ　米粒麦,おおむぎ　米粒麦,01
切断麦,おおむぎ　米粒麦,01
米粒麦,おおむぎ　米粒麦,01
おおむぎ　大麦めん　乾,おおむぎ　大麦めん　乾,01
おおむぎ　大麦めん　ゆで,おおむぎ　大麦めん　ゆで,01
おおむぎ　麦こがし,おおむぎ　麦こがし,01
こうせん,おおむぎ　麦こがし,01
はったい粉,おおむぎ　麦こがし,01
麦こがし,おおむぎ　麦こがし,01
きぬあ,キヌア　玄穀,01
きぬあ　玄穀,キヌア　玄穀,01
キヌア,キヌア　玄穀,01
キヌア　玄穀,キヌア　玄穀,01
きび,きび　精白粒,01
きび　精白粒,きび　精白粒,01
こむぎ　　国産　普通,こむぎ　［玄穀］　国産　普通,01
こむぎ　［玄穀］　国産　普通,こむぎ　［玄穀］　国産　普通,01
こむぎ　　輸入　軟質,こむぎ　［玄穀］　輸入　軟質,01
こむぎ　［玄穀］　輸入　軟質,こむぎ　［玄穀］　輸入　軟質,01
軟質,こむぎ　［玄穀］　輸入　軟質,01
こむぎ　　輸入　硬質,こむぎ　［玄穀］　輸入　硬質,01
こむぎ　［玄穀］　輸入　硬質,こむぎ　［玄穀］　輸入　硬質,01
硬質,こむぎ　［玄穀］　輸入　硬質,01
こむぎ　　薄力粉　1等,こむぎ　［小麦粉］　薄力粉　1等,01
こむぎ　［小麦粉］　薄力粉　1等,こむぎ　［小麦粉］　薄力粉　1等,01
こむぎ　　薄力粉　2等,こむぎ　［小麦粉］　薄力粉　2等,01
こむぎ　［小麦粉］　薄力粉　2等,こむぎ　［小麦粉］　薄力粉　2等,01
こむぎ　　中力粉　1等,こむぎ　［小麦粉］　中力粉　1等,01
こむぎ　［小麦粉］　中力粉　1等,こむぎ　［小麦粉］　中力粉　1等,01
こむぎ　　中力粉　2等,こむぎ　［小麦粉］　中力粉　2等,01
こむぎ　［小麦粉］　中力粉　2等,こむぎ　［小麦粉］　中力粉　2等,01
